title,,,,,user rating score
White Chicks,,,,,82
Lucky Number Slevin,,,,,
Grey's Anatomy,,,,,98
Prison Break,,,,,98
How I Met Your Mother,,,,,94
Supernatural,,,,,95
Breaking Bad,,,,,97
The Vampire Diaries,,,,,91
The Walking Dead,,,,,98
Pretty Little Liars,,,,,96
Once Upon a Time,,,,,98
Sherlock,,,,,95
Death Note,,,,,77
Naruto,,,,,88
The Hunter,,,,,
Lottie Dottie Chicken,,,,,
Arrow,,,,,96
Black Mirror,,,,,80
The Originals,,,,,74
The 100,,,,,97
Masha and the Bear,,,,,81
"Ã“ Pai, Ã“ - Look at This",,,,,
Nymphomaniac: Volume 1,,,,,
Hunter X Hunter (2011),,,,,57
Marvel's Luke Cage,,,,,95
Marvel's Iron Fist,,,,,98
Narcos,,,,,94
The Flash,,,,,98
The Seven Deadly Sins,,,,,
Scream,,,,,
The Do-Over,,,,,84
OperaÃ§Ãµes Especiais,,,,,
0.03,,,,,
Trollhunters,,,,,83
Fearless,,,,,
Hyena Road,,,,,
Santa Clarita Diet,,,,,82
"Sex, Love and Therapy",,,,,
White Girl,,,,,
